System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.56(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.41(Debug=False)

Messages
06/06/2024 10:52:03   | Message | Datatype "S7_LDT" of item "RFC_SV_State_V2T_D_E_Going" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:03   | Message | Datatype "S7_LDT" of item "RFC_SV_State_V2T_D_E_Coming" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:03   | Message | Attention: Some items in the PLC project contain special characters. | TIAParser.FormatName() | 
06/06/2024 10:52:03   | Message | Datatype "S7_Variant" of item "RFC__HZ 1 Circulation PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:03   | Message | Datatype "S7_Variant" of item "RFC__HZ 1 Circulation PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Pointer" of item "RFC_IDB HZ 1 Door 0 Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 0 Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 0 Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 0 Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 0 Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Pointer" of item "RFC_IDB HZ 1 Door 4 Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 4 Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 4 Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 4 Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 4 Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Pointer" of item "RFC_IDB HZ 1 Door 7 Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 7 Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 7 Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 7 Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 7 Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Pointer" of item "RFC_IDB HZ 1 Door 9 Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 9 Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 9 Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 9 Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Variant" of item "RFC_IDB HZ 1 Door 9 Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Pointer" of item "RFC_IDB HZ 1 Heating Main.Restarter 1"IO: Delayed"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Pointer" of item "RFC_RFC_IDB HZ 1 Heating Main.Restarter 1.sDelayed off"IO: Time"" is not supported! | TIAParser.CreateMemberInfo() | 
06/06/2024 10:52:04   | Message | Datatype "S7_Pointer" of item "RFC_RFC_IDB HZ 1 Heating Main.Restarter 1.sDelayed on"IO: Time"" is not supported! | TIAParser.CreateMemberInfo() | 
